ID,LATITUDE,LONGITUDE,CATEGORY,STATES_NAME_EN,REGION_EN,NAME_EN
1051,36.43889,-105.54167,Cultural,United States of America,Europe and North America,Taos Pueblo
1052,32.16666667,-104.3833333,Natural,United States of America,Europe and North America,Carlsbad Caverns National Park
1054,32.63694444,-91.40638889,Cultural,United States of America,Europe and North America,Monumental Earthworks of Poverty Point
1055,29.32805556,-98.46,Cultural,United States of America,Europe and North America,San Antonio Missions
1056,39.90557083,-79.46647556,Cultural,United States of America,Europe and North America,The 20th-Century Architecture of Frank Lloyd Wright
1057,-34.46777778,-57.85333333,Cultural,Uruguay,Latin America and the Caribbean,Historic Quarter of the City of Colonia del Sacramento
1058,-33.11777778,-58.33166667,Cultural,Uruguay,Latin America and the Caribbean,Fray Bentos Industrial Landscape
924,4,-56.5,Natural,Suriname,Latin America and the Caribbean,Central Suriname Nature Reserve
925,59.33514,17.54264,Cultural,Sweden,Europe and North America,Birka and Hovgården
926,59.96667,16.00833,Cultural,Sweden,Europe and North America,Engelsberg Ironworks
927,58.70111,11.34111,Cultural,Sweden,Europe and North America,Rock Carvings in Tanum
928,59.27556,18.09944,Cultural,Sweden,Europe and North America,Skogskyrkogården
929,59.32306,17.88333,Cultural,Sweden,Europe and North America,Royal Domain of Drottningholm
930,57.64167,18.29583,Cultural,Sweden,Europe and North America,Hanseatic Town of Visby
931,65.64611,22.02861,Cultural,Sweden,Europe and North America,"Church Town of Gammelstad, Luleå "
932,67.33333,17.58333,Mixed,Sweden,Europe and North America,Laponian Area
1059,41.37833,60.36389,Cultural,Uzbekistan,Asia and the Pacific,Itchan Kala
1060,39.77472,64.42861,Cultural,Uzbekistan,Asia and the Pacific,Historic Centre of Bukhara
1061,39.66861,67,Cultural,Uzbekistan,Asia and the Pacific,Samarkand  ⿿ Crossroad of Cultures
1062,39.05,66.83333,Cultural,Uzbekistan,Asia and the Pacific,Historic Centre of Shakhrisyabz
1063,-17.62806944,168.1777194,Cultural,Vanuatu,Asia and the Pacific,Chief Roi Mata⿿s Domain
1064,11.4,-69.68333333,Cultural,Venezuela (Bolivarian Republic of),Latin America and the Caribbean,Coro and its Port
1065,5.33333,-61.5,Natural,Venezuela (Bolivarian Republic of),Latin America and the Caribbean,Canaima National Park
1066,10.49073,-66.89068,Cultural,Venezuela (Bolivarian Republic of),Latin America and the Caribbean,Ciudad Universitaria de Caracas
1067,20.9,107.1,Natural,Viet Nam,Asia and the Pacific,Ha Long Bay
933,56.16667,15.58333,Cultural,Sweden,Europe and North America,Naval Port of Karlskrona
934,56.325,16.48333,Cultural,Sweden,Europe and North America,Agricultural Landscape of Southern ÿland
935,60.60472,15.63083,Cultural,Sweden,Europe and North America,Mining Area of the Great Copper Mountain in Falun
936,57.1,12.38333333,Cultural,Sweden,Europe and North America,"Grimeton Radio Station, Varberg"
937,61.70722222,16.19583333,Cultural,Sweden,Europe and North America,Decorated Farmhouses of Hälsingland
1068,16.46944,107.57778,Cultural,Viet Nam,Asia and the Pacific,Complex of Hué Monuments
1069,15.88333333,108.3333333,Cultural,Viet Nam,Asia and the Pacific,Hoi An Ancient Town
1070,15.51666667,108.5666667,Cultural,Viet Nam,Asia and the Pacific,My Son Sanctuary
1071,17.53722222,106.15125,Natural,Viet Nam,Asia and the Pacific,Phong Nha-Ke Bang National Park
1072,21.03944444,105.8372222,Cultural,Viet Nam,Asia and the Pacific,Central Sector of the Imperial Citadel of Thang Long - Hanoi
1073,20.07805556,105.6047222,Cultural,Viet Nam,Asia and the Pacific,Citadel of the Ho Dynasty
1074,20.25666667,105.8963889,Mixed,Viet Nam,Asia and the Pacific,Trang An Landscape Complex
1075,15.92694,48.62667,Cultural,Yemen,Arab States,Old Walled City of Shibam
1076,15.35555556,44.20805556,Cultural,Yemen,Arab States,Old City of Sana'a
1077,14.19533333,43.31552778,Cultural,Yemen,Arab States,Historic Town of Zabid
823,71.18888889,-179.7152778,Natural,Russian Federation,Europe and North America,Natural System of Wrangel Island Reserve
824,42.05297222,48.29719444,Cultural,Russian Federation,Europe and North America,"Citadel, Ancient City and Fortress Buildings of Derbent"
825,55.72611111,37.55508333,Cultural,Russian Federation,Europe and North America,Ensemble of the Novodevichy Convent
938,46.94806,7.45028,Cultural,Switzerland,Europe and North America,Old City of Berne
939,47.42333,9.37778,Cultural,Switzerland,Europe and North America,Abbey of St Gall
940,46.62945,10.44765,Cultural,Switzerland,Europe and North America,Benedictine Convent of St John at Müstair
941,46.19314,9.02242,Cultural,Switzerland,Europe and North America,"Three Castles, Defensive Wall and Ramparts of the Market-Town of Bellinzona"
942,46.5,8.033333333,Natural,Switzerland,Europe and North America,Swiss Alps Jungfrau-Aletsch
943,46.91666667,9.25,Natural,Switzerland,Europe and North America,Swiss Tectonic Arena Sardona
